TRRN,Timestamp,Amount,Year,Month,Employees,Link
2032206011046,17-JUN-2022 05:44:04,"2,02,120",22,MAY,12,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-70-9CB7473B818814C765753304BC926813
2032206011063,17-JUN-2022 05:44:04,"2,72,54,478",22,MAY,742,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-54-9CB7473B818814C765753304BC926813
2032205008341,12-MAY-2022 18:39:45,"2,84,245",22,APR,16,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-121-9CB7473B818814C765753304BC926813
2032205008354,12-MAY-2022 18:37:10,"2,65,75,872",22,APR,695,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-120-9CB7473B818814C765753304BC926813
2032204018869,27-APR-2022 19:52:32,"1,03,050",22,MAR,2,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-117-9CB7473B818814C765753304BC926813
2032204008532,13-APR-2022 13:45:21,"2,63,57,898",22,MAR,697,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-53-9CB7473B818814C765753304BC926813
2032204008466,13-APR-2022 12:55:37,"8,01,323",22,MAR,23,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-20-9CB7473B818814C765753304BC926813
2032204018868,27-APR-2022 19:51:49,"35,512",22,FEB,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-99-9CB7473B818814C765753304BC926813
2032203006704,12-MAR-2022 13:14:55,"1,79,181",22,FEB,10,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-87-9CB7473B818814C765753304BC926813
2032203006693,12-MAR-2022 13:14:42,"66,225",22,FEB,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-19-9CB7473B818814C765753304BC926813
2032203006737,12-MAR-2022 13:15:37,"2,69,58,683",22,FEB,713,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-5-9CB7473B818814C765753304BC926813
2032202011742,14-FEB-2022 15:57:18,"3,18,049",22,JAN,28,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-116-9CB7473B818814C765753304BC926813
2032203006743,12-MAR-2022 13:13:54,"24,971",22,JAN,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-105-9CB7473B818814C765753304BC926813
2032202011741,14-FEB-2022 15:40:44,"66,225",22,JAN,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-52-9CB7473B818814C765753304BC926813
2032202011751,14-FEB-2022 16:11:51,"2,63,92,014",22,JAN,699,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-9-9CB7473B818814C765753304BC926813
2032201007966,17-JAN-2022 13:20:45,"2,45,67,009",21,DEC,687,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-115-9CB7473B818814C765753304BC926813
2032201007929,17-JAN-2022 13:19:29,"58,875",21,DEC,1,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-83-9CB7473B818814C765753304BC926813
2032201007941,17-JAN-2022 13:19:53,"8,38,242",21,DEC,25,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-8-9CB7473B818814C765753304BC926813
2032111018209,13-DEC-2021 18:29:05,"4,22,036",21,NOV,10,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-114-9CB7473B818814C765753304BC926813
2032112005256,13-DEC-2021 18:46:04,"2,44,50,636",21,NOV,684,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-98-9CB7473B818814C765753304BC926813
2032112005241,13-DEC-2021 18:14:38,"99,691",21,NOV,6,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-86-9CB7473B818814C765753304BC926813
